Id,Name,Exponent,CenterOrder,DerivedOrder,AbelianInvariants,AbelRank,AbelianizationOrder,NilpotencyClass
1,C32,32,32,1,[ 32 ],1,32,1
2,(C4 x C2) : C4,4,8,2,"[ 4, 4 ]",2,16,2
3,C8 x C4,8,32,1,"[ 4, 8 ]",2,32,1
4,C8 : C4,8,8,2,"[ 4, 4 ]",2,16,2
5,(C8 x C2) : C2,8,8,2,"[ 2, 8 ]",2,16,2
6,(C2 x C2 x C2) : C4,4,2,4,"[ 2, 4 ]",2,8,3
7,(C8 : C2) : C2,8,2,4,"[ 2, 4 ]",2,8,3
8,C2 . ((C4 x C2) : C2) = (C2 x C2) . (C4 x C2),8,2,4,"[ 2, 4 ]",2,8,3
9,(C8 x C2) : C2,8,4,4,"[ 2, 4 ]",2,8,3
10,Q8 : C4,8,4,4,"[ 2, 4 ]",2,8,3
11,(C4 x C4) : C2,8,4,4,"[ 2, 4 ]",2,8,3
12,C4 : C8,8,8,2,"[ 2, 8 ]",2,16,2
13,C8 : C4,8,4,4,"[ 2, 4 ]",2,8,3
14,C8 : C4,8,4,4,"[ 2, 4 ]",2,8,3
15,C4 . D8 = C4 . (C4 x C2),8,4,4,"[ 2, 4 ]",2,8,3
16,C16 x C2,16,32,1,"[ 2, 16 ]",2,32,1
17,C16 : C2,16,8,2,"[ 2, 8 ]",2,16,2
18,D32,16,2,8,"[ 2, 2 ]",2,4,4
19,QD32,16,2,8,"[ 2, 2 ]",2,4,4
20,Q32,16,2,8,"[ 2, 2 ]",2,4,4
21,C4 x C4 x C2,4,32,1,"[ 2, 4, 4 ]",3,32,1
22,C2 x ((C4 x C2) : C2),4,8,2,"[ 2, 2, 4 ]",3,16,2
23,C2 x (C4 : C4),4,8,2,"[ 2, 2, 4 ]",3,16,2
24,(C4 x C4) : C2,4,8,2,"[ 2, 2, 4 ]",3,16,2
25,C4 x D8,4,8,2,"[ 2, 2, 4 ]",3,16,2
26,C4 x Q8,4,8,2,"[ 2, 2, 4 ]",3,16,2
27,(C2 x C2 x C2 x C2) : C2,4,4,4,"[ 2, 2, 2 ]",3,8,2
28,(C4 x C2 x C2) : C2,4,4,4,"[ 2, 2, 2 ]",3,8,2
29,(C2 x Q8) : C2,4,4,4,"[ 2, 2, 2 ]",3,8,2
30,(C4 x C2 x C2) : C2,4,4,4,"[ 2, 2, 2 ]",3,8,2
31,(C4 x C4) : C2,4,4,4,"[ 2, 2, 2 ]",3,8,2
32,(C2 x C2) . (C2 x C2 x C2),4,4,4,"[ 2, 2, 2 ]",3,8,2
33,(C4 x C4) : C2,4,4,4,"[ 2, 2, 2 ]",3,8,2
34,(C4 x C4) : C2,4,4,4,"[ 2, 2, 2 ]",3,8,2
35,C4 : Q8,4,4,4,"[ 2, 2, 2 ]",3,8,2
36,C8 x C2 x C2,8,32,1,"[ 2, 2, 8 ]",3,32,1
37,C2 x (C8 : C2),8,8,2,"[ 2, 2, 4 ]",3,16,2
38,(C8 x C2) : C2,8,8,2,"[ 2, 2, 4 ]",3,16,2
39,C2 x D16,8,4,4,"[ 2, 2, 2 ]",3,8,3
40,C2 x QD16,8,4,4,"[ 2, 2, 2 ]",3,8,3
41,C2 x Q16,8,4,4,"[ 2, 2, 2 ]",3,8,3
42,(C8 x C2) : C2,8,4,4,"[ 2, 2, 2 ]",3,8,3
43,C8 : (C2 x C2),8,2,4,"[ 2, 2, 2 ]",3,8,3
44,(C2 x Q8) : C2,8,2,4,"[ 2, 2, 2 ]",3,8,3
45,C4 x C2 x C2 x C2,4,32,1,"[ 2, 2, 2, 4 ]",4,32,1
46,C2 x C2 x D8,4,8,2,"[ 2, 2, 2, 2 ]",4,16,2
47,C2 x C2 x Q8,4,8,2,"[ 2, 2, 2, 2 ]",4,16,2
48,C2 x ((C4 x C2) : C2),4,8,2,"[ 2, 2, 2, 2 ]",4,16,2
49,(C2 x C2 x C2) : (C2 x C2),4,2,2,"[ 2, 2, 2, 2 ]",4,16,2
50,(C2 x Q8) : C2,4,2,2,"[ 2, 2, 2, 2 ]",4,16,2
51,C2 x C2 x C2 x C2 x C2,2,32,1,"[ 2, 2, 2, 2, 2 ]",5,32,1
